"","inPathway","outPathway"
"Fluoxetine Pathway",49,393039
"Selenoamino Acid Metabolism",201,392887
"Sufentanil Pathway",38,393050
"Alvimopan Action Pathway",38,393050
"Taurine and Hypotaurine Metabolism",40,393048
"17-Beta Hydroxysteroid Dehydrogenase III Deficiency",43,393045
"3-hydroxyisobutyric aciduria",89,392999
"Pentazocine Action Pathway",38,393050
"3-Methylcrotonyl Coa Carboxylase Deficiency Type I",89,392999
"3-Beta-Hydroxysteroid Dehydrogenase Deficiency",54,393034
"Quinapril Pathway",12,393076
"Rosiglitazone Metabolism Pathway",13,393075
"Tobramycin Action Pathway",20,393068
"Blue diaper syndrome",41,393047
"sarcosine oncometabolite pathway ",36,393052
"Ornithine Aminotransferase Deficiency (OAT Deficiency)",73,393015
"Lactose Synthesis",31,393057
"Threonine and 2-Oxobutanoate Degradation",29,393059
"Smith-Lemli-Opitz Syndrome (SLOS)",67,393021
"Furosemide Pathway",42,393046
"Bile Acid Biosynthesis",82,393006
"Nateglinide Pathway",10,393078
"Hypercholesterolemia",67,393021
"Glycogenosis, Type VII. Tarui disease",40,393048
"Ardeparin Pathway",21,393067
"Flecainide Pathway",68,393020
"Levorphanol Action Pathway",38,393050
"Angiotensin Metabolism",10,393078
"UMP Synthase Deiciency (Orotic Aciduria)",82,393006
"Spermidine and Spermine Biosynthesis",23,393065
"Piroxicam Pathway",94,392994
"Galactosemia",49,393039
"Isovaleric Aciduria",89,392999
"Pyruvate Carboxylase Deficiency",22,393066
"Adenosine Deaminase Deficiency",109,392979
"2-Hydroxyglutric Aciduria (D And L Form)",72,393016
"Celecoxib Pathway",105,392983
"Aspartate Metabolism",49,393039
"Isradipine Pathway",68,393020
"Gemcitabine Pathway",23,393065
"3-Methylglutaconic Aciduria Type III",89,392999
"Leucine Stimulation on Insulin Signaling",9,393079
"Beta-mercaptolactate-cysteine disulfiduria",35,393053
"Fatty Acid Elongation In Mitochondria",42,393046
"Levomethadyl Acetate Action Action Pathway",38,393050
"Ibandronate Pathway",68,393020
"Metolazone Pathway",42,393046
"Roxithromycin Pathway",20,393068
"Teniposide Pathway",13,393075
"Lidocaine (Local Anaesthetic) Metabolism Pathway",21,393067
"Cysteine Metabolism",36,393052
"Urea Cycle",55,393033
"Oxybuprocaine Pathway",38,393050
"Ibuprofen Metabolism Pathway",24,393064
"Gamma-cystathionase deficiency (CTH)",10,393078
"Artemether Metabolism Pathway",13,393075
"Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)",73,393015
"Trandolapril Pathway",11,393077
"Very-long-chain acyl coa dehydrogenase deficiency (VLCAD)",56,393032
"Moexipril Pathway",11,393077
"Hyperglycinemia, non-ketotic",81,393007
"Rilpivirine Action Pathway",4,393084
"Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)",68,393020
"Adenine phosphoribosyltransferase deficiency (APRT)",109,392979
"Adefovir Dipivoxil Pathway",5,393083
"Etoposide Pathway",25,393063
"Cyclophosphamide Metabolism Pathway",27,393061
"Betazole Action Pathway",23,393065
"Lornoxicam Action Pathway",93,392995
"Glycogenosis, Type VI. Hers disease",44,393044
"Glutaric Aciduria Type I1",82,393006
"miRNAs involved in DNA damage response",38,393050
"Sulindac Metabolic Pathway",9,393079
"FTO Obesity Variant Mechanism",6,393082
"Prostaglandin Synthesis and Regulation",34,393054
"Cori Cycle",31,393057
"Nanomaterial induced apoptosis",20,393068
"Integrated Cancer Pathway",5,393083
"Sphingolipid Metabolism1",198,392890
"Amino acid conjugation",25,393063
"IL-4 Signaling Pathway",1,393087
"Influenza A virus infection",14,393074
"Kit receptor signaling pathway",0,393088
"Gene regulatory network modelling somitogenesis ",8,393080
"Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways",166,392922
"Oxidative Damage",40,393048
"TYROBP Causal Network",46,393042
"Circadian rythm related genes",208,392880
"Regulation of Actin Cytoskeleton",235,392853
"DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM",3,393085
"Canonical and Non-Canonical TGF-B signaling",16,393072
"RalA downstream regulated genes",12,393076
"Diclofenac Metabolic Pathway",6,393082
"Steroid Biosynthesis1",126,392962
"Proteasome Degradation",64,393024
"Benzene metabolism",15,393073
"Cholesterol Biosynthesis",87,393001
"Follicle Stimulating Hormone (FSH) signaling pathway",0,393088
"TFs Regulate miRNAs related to cardiac hypertrophy",8,393080
"Trans-sulfuration pathway",16,393072
"Codeine and Morphine Metabolism",15,393073
"One carbon donor",17,393071
"eIF5A regulation in response to inhibition of the nuclear export system",4,393084
"Arrhythmogenic Right Ventricular Cardiomyopathy",75,393013
"Sterol Regulatory Element-Binding Proteins (SREBP) signalling",69,393019
"Glycerophospholipid Biosynthetic Pathway",45,393043
"T-Cell Receptor and Co-stimulatory Signaling",29,393059
"TP53 Network",17,393071
"BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation",12,393076
"DDX1 as a regulatory component of the Drosha microprocessor",7,393081
"Apoptosis Modulation by HSP70",20,393068
"Selenium Micronutrient Network",51,393037
"Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation",43,393045
"Cytoplasmic Ribosomal Proteins",88,393000
"T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection",64,393024
"Vitamin B12 Metabolism",19,393069
"EV release from cardiac cells and their functional effects",6,393082
"IL17 signaling pathway",31,393057
"Cardiac Hypertrophic Response",44,393044
"MAPK Cascade",31,393057
"Alanine and aspartate metabolism",57,393031
"GPR40 Pathway",18,393070
"EDA Signalling in Hair Follicle Development",10,393078
"Nucleotide Metabolism",36,393052
"Biogenic Amine Synthesis",19,393069
"Ovarian Infertility Genes",32,393056
"miRNA Biogenesis",5,393083
"Pentose Phosphate Pathway1",92,392996
"Focal Adhesion",242,392846
"Extracellular vesicle-mediated signaling in recipient cells",28,393060
"Vitamin A and Carotenoid Metabolism",61,393027
"Fatty Acid Omega Oxidation",18,393070
"Cell Cycle",691,392397
"Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex",18,393070
"Amyotrophic lateral sclerosis (ALS)",63,393025
"TGF-beta Receptor Signaling",54,393034
"Serotonin Receptor 4/6/7 and NR3C Signaling",19,393069
"Parkin-Ubiquitin Proteasomal System pathway",72,393016
"TGF-beta Signaling Pathway",85,393003
"Energy Metabolism",47,393041
"Brain-Derived Neurotrophic Factor (BDNF) signaling pathway",4,393084
"Target Of Rapamycin (TOR) Signaling",35,393053
"BMP Signaling Pathway in Eyelid Development",20,393068
"Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway",18,393070
"Nucleotide GPCRs",12,393076
"Butyrate-induced histone acetylation",3,393085
"IL-1 signaling pathway",0,393088
"Irinotecan Pathway1",25,393063
"Regulation of Microtubule Cytoskeleton",44,393044
"TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway",0,393088
"Exercise-induced Circadian Regulation",48,393040
"Tamoxifen metabolism",33,393055
"IL-7 Signaling Pathway",0,393088
"Eicosanoid Synthesis",30,393058
"Oxidation by Cytochrome P450",65,393023
"Allograft Rejection",103,392985
"Mitochondrial LC-Fatty Acid Beta-Oxidation",20,393068
"Lidocaine metabolism",10,393078
"Androgen receptor signaling pathway",1,393087
"Glycogen Metabolism",67,393021
"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression",28,393060
"IL-9 Signaling Pathway",0,393088
"LncRNA-mediated mechanisms of therapeutic resistance",6,393082
"Wnt Signaling Pathway and Pluripotency",103,392985
"ATR Signaling",8,393080
"RIG-I-like Receptor Signaling",59,393029
"BDNF-TrkB Signaling",33,393055
"Synaptic Vesicle Pathway",53,393035
"Urea cycle and metabolism of amino groups",59,393029
"Phospholipid biosynthesis",59,393029
"Secretion of Hydrochloric Acid in Parietal Cells",10,393078
"Type III interferon signaling",10,393078
"Inflammatory Response Pathway",31,393057
"Common Pathways Underlying Drug Addiction",44,393044
"Proprotein convertase subtilisin/kexin type 9 (PCSK9) mediated LDL receptor degradation",2,393086
"Arachidonate Epoxygenase / Epoxide Hydrolase",15,393073
"EPO Receptor Signaling",26,393062
"EGF/EGFR Signaling Pathway",2,393086
"Spinal Cord Injury",121,392967
"MFAP5-mediated ovarian cancer cell motility and invasiveness",14,393074
"Cell-type Dependent Selectivity of CCK2R Signaling",20,393068
"TNF alpha Signaling Pathway",5,393083
"Human Thyroid Stimulating Hormone (TSH) signaling pathway",58,393030
"TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)",28,393060
"GPCRs, Class C Metabotropic glutamate, pheromone",15,393073
"p38 MAPK Signaling Pathway",34,393054
"Melatonin metabolism and effects",48,393040
"Gastric Cancer Network 2",31,393057
"Tgif disruption of Shh signaling",9,393079
"Cardiac Progenitor Differentiation",47,393041
"Nanoparticle triggered autophagic cell death",22,393066
"SRF and miRs in Smooth Muscle Differentiation and Proliferation",10,393078
"NOTCH1 regulation of human endothelial cell calcification",15,393073
"Aryl Hydrocarbon Receptor Pathway",46,393042
"miR-517 relationship with ARCN1 and USP1",5,393083
"Imatinib and Chronic Myeloid Leukemia",21,393067
"Toll-like Receptor Signaling",31,393057
"AGE/RAGE pathway",0,393088
"Trans-sulfuration and one carbon metabolism",49,393039
"Histone Modifications",57,393031
"Serotonin Transporter Activity",12,393076
"Osteoclast Signaling",3,393085
"Leptin signaling pathway",0,393088
"Evolocumab Mechanism",2,393086
"Selenium Metabolism and Selenoproteins",50,393038
"Transcriptional activation by NRF2",19,393069
"NRF2 pathway",140,392948
"Insulin signalling in human adipocytes (diabetic condition)",0,393088
"Interferon type I signaling pathways",12,393076
"Serotonin and anxiety-related events",13,393075
"Differentiation Pathway",55,393033
"Glycolysis and Gluconeogenesis",53,393035
"Sulfation Biotransformation Reaction",18,393070
"Farnesoid X Receptor  Pathway",20,393068
"Mesodermal Commitment Pathway",85,393003
"Robo4 and VEGF Signaling Pathways Crosstalk",5,393083
"T-Cell antigen Receptor (TCR)  Signaling Pathway",0,393088
"Photodynamic therapy-induced unfolded protein response",27,393061
"MAPK Signaling Pathway",323,392765
"Alpha 6 Beta 4 signaling pathway",0,393088
"Fluoropyrimidine Activity",50,393038
"TLR4 Signaling and Tolerance",28,393060
"Development and heterogeneity of the ILC family",30,393058
"mir34a and TGIF2 in osteoclastogenesis",1,393087
"Amino Acid metabolism",155,392933
"Cell Differentiation - Index",7,393081
"Mismatch repair",32,393056
"Oxytocin signaling",2,393086
"Constitutive Androstane Receptor Pathway",33,393055
"Regulation of toll-like receptor signaling pathway",140,392948
"Deregulation of Rab and Rab Effector Genes in Bladder Cancer",14,393074
"Iron metabolism in placenta",10,393078
"Physiological and Pathological Hypertrophy  of the Heart",24,393064
"Nucleotide-binding Oligomerization Domain (NOD) pathway",38,393050
"Monoamine GPCRs",38,393050
"Polyol Pathway",11,393077
"Corticotropin-releasing hormone signaling pathway",91,392997
"Heart Development",46,393042
"Arylamine metabolism",8,393080
"Ganglio Sphingolipid Metabolism",30,393058
"Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling",23,393065
"Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs)",6,393082
"Composition of Lipid Particles",14,393074
"Insulin signalling in human adipocytes (normal condition)",4,393084
"miRs in Muscle Cell Differentiation",29,393059
"Nanoparticle-mediated activation of receptor signaling",0,393088
"Colchicine Metabolic Pathway",3,393085
"Blood Clotting Cascade",21,393067
"IL-2 Signaling Pathway",2,393086
"Serotonin Receptor 2 and ELK-SRF/GATA4 signaling",21,393067
"One Carbon Metabolism",52,393036
"Striated Muscle Contraction",45,393043
"White fat cell differentiation",34,393054
"Serotonin Receptor 2 and STAT3 Signaling",4,393084
"Pathogenic Escherichia coli infection",59,393029
"Preimplantation Embryo",38,393050
"Triacylglyceride Synthesis",29,393059
"H19 action Rb-E2F1 signaling and CDK-β-catenin activity",13,393075
"Endochondral Ossification",66,393022
"Quercetin and Nf-kB/ AP-1 Induced Cell Apoptosis",17,393071
"ACE Inhibitor Pathway",26,393062
"ApoE and miR-146 in inflammation and atherosclerosis",9,393079
"Statin Pathway",36,393052
"Peroxisomal beta-oxidation of tetracosanoyl-CoA",7,393081
"Signaling of Hepatocyte Growth Factor Receptor",34,393054
"AMP-activated Protein Kinase (AMPK) Signaling",68,393020
"Senescence and Autophagy in Cancer",105,392983
"Notch Signaling Pathway",51,393037
"Photodynamic therapy-induced NF-kB survival signaling",35,393053
"miR-222 in Exercise-Induced Cardiac Growth",3,393085
"Signal Transduction of S1P Receptor",25,393063
"Complement and Coagulation Cascades",85,393003
"Type II diabetes mellitus",56,393032
"Type II interferon signaling (IFNG)",37,393051
"Acetylcholine Synthesis",13,393075
"Oncostatin M Signaling Pathway",2,393086
"Peptide GPCRs",75,393013
"Interleukin-11 Signaling Pathway",44,393044
"Kennedy pathway",19,393069
"Alzheimers Disease",82,393006
"One carbon metabolism and related pathways",66,393022
"Canonical  and Non-canonical Notch signaling",26,393062
"PPAR signaling pathway",84,393004
"Angiopoietin Like Protein 8 Regulatory Pathway",137,392951
"Hypothesized Pathways in Pathogenesis of Cardiovascular Disease",25,393063
"Notch Signaling Pathway1",51,393037
"GPCRs, Class B Secretin-like",23,393065
"Nanoparticle triggered regulated necrosis",15,393073
"Phase I biotransformations, non P450",12,393076
"B Cell Receptor Signaling Pathway",74,393014
"Overview of nanoparticle effects",21,393067
"Bone Morphogenic Protein (BMP) Signalling and Regulation",12,393076
"Hypothetical Craniofacial Development Pathway",7,393081
"Glial Cell Differentiation",7,393081
"Methylation Pathways",9,393079
"Cytokines and Inflammatory Response",30,393058
"MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ",12,393076
"Synthesis and Degradation of Ketone Bodies",19,393069
"Leptin and adiponectin",11,393077
"Wnt Signaling in Kidney Disease",36,393052
"Hypertrophy Model",20,393068
"Toll-like Receptor Signaling Pathway",107,392981
"G13 Signaling Pathway",38,393050
"Metapathway biotransformation",169,392919
"Glutathione metabolism",120,392968
"miR-148a/miR-31/FIH1/HIF1α-Notch signaling in glioblastoma ",7,393081
"Dual hijack model of Vif in HIV infection",8,393080
"ATM Signaling Network in Development and Disease ",44,393044
"Leptin Insulin Overlap",19,393069
"Osteoblast Signaling",4,393084
"Wnt/beta-catenin Signaling Pathway in Leukemia",20,393068
"Benzo(a)pyrene metabolism",16,393072
"mRNA Processing",127,392961
"Development of pulmonary dendritic cells and macrophage subsets",11,393077
"Adipogenesis",130,392958
"Gastric Cancer Network 1",29,393059
"Eukaryotic Transcription Initiation",41,393047
"Fatty Acid Beta Oxidation",62,393026
"Folate-Alcohol and Cancer Pathway",16,393072
"Non-homologous end joining",7,393081
"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway",299,392789
"Regulation of Apoptosis by Parathyroid Hormone-related Protein",18,393070
"MECP2 and Associated Rett Syndrome",60,393028
"Drug Induction of Bile Acid Pathway",40,393048
"Hypoxia-mediated EMT and Stemness",2,393086
"Photodynamic therapy-induced HIF-1 survival signaling",36,393052
"Oxidative phosphorylation",153,392935
"Nicotine Activity on Chromaffin Cells",4,393084
"Tryptophan metabolism",241,392847
"Parkinsons Disease Pathway",42,393046
"Dopaminergic Neurogenesis",25,393063
"ATM Signaling Pathway",23,393065
"RNA interference",5,393083
"Nicotine Metabolism",16,393072
"Zinc homeostasis",37,393051
"NAD+ biosynthetic pathways",35,393053
"Metastatic brain tumor",11,393077
"Apoptosis",319,392769
"Globo Sphingolipid Metabolism",26,393062
"Serotonin and anxiety",20,393068
"Glucuronidation",68,393020
"Mitochondrial Gene Expression",1,393087
"Amino acid conjugation of benzoic acid",13,393075
"Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling",31,393057
"Differentiation of white and brown adipocyte   ",19,393069
"Wnt Signaling Pathway Netpath",0,393088
"RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway",0,393088
"Amplification and Expansion of Oncogenic Pathways as Metastatic Traits",16,393072
"Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds",28,393060
"Primary Focal Segmental Glomerulosclerosis FSGS",67,393021
"Structural Pathway of Interleukin 1 (IL-1)",47,393041
"Estrogen metabolism",34,393054
"Vitamin D Metabolism",16,393072
"Integrated Breast Cancer Pathway",86,393002
"NAD+ metabolism",17,393071
"EBV LMP1 signaling",23,393065
"PI3K-AKT-mTOR signaling pathway and therapeutic opportunities",31,393057
"Valproic acid pathway",31,393057
"Hepatitis C and Hepatocellular Carcinoma",48,393040
"Neural Crest Differentiation",87,393001
"Interactome of polycomb repressive complex 2 (PRC2) ",14,393074
"Effects of Nitric Oxide",13,393075
"Association Between Physico-Chemical Features and Toxicity Associated Pathways",75,393013
"Nuclear Receptors",43,393045
"Aryl Hydrocarbon Receptor",32,393056
"G Protein Signaling Pathways",93,392995
"Retinoblastoma (RB) in Cancer",84,393004
"Endothelin Pathways",33,393055
"Folate Metabolism1",103,392985
"Apoptosis-related network due to altered Notch3 in ovarian cancer",52,393036
"miR-509-3p alteration of YAP1/ECM axis",17,393071
"Insulin Signaling",160,392928
"Monoamine Transport",45,393043
"Fatty Acid Biosynthesis1",110,392978
"Copper homeostasis",55,393033
"DNA Damage Response",67,393021
"Initiation of transcription and translation elongation at the HIV-1 LTR",33,393055
"miRNA Regulation of DNA Damage Response",72,393016
"MicroRNAs in cardiomyocyte hypertrophy",84,393004
"Felbamate Metabolism",9,393079
"TCA Cycle",28,393060
"Translation Factors",50,393038
"PPAR Alpha Pathway",25,393063
"Calcium Regulation in the Cardiac Cell",154,392934
"miRNA targets in ECM and membrane receptors",31,393057
"ERK Pathway in Huntington's Disease",14,393074
"Microglia Pathogen Phagocytosis Pathway",41,393047
"Aflatoxin B1 metabolism",12,393076
"Dopamine metabolism",44,393044
"TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition",18,393070
"Electron Transport Chain",111,392977
"NAD metabolism, sirtuins and aging",12,393076
"Caffeine and Theobromine metabolism",14,393074
"Matrix Metalloproteinases",30,393058
"Osteopontin Signaling",13,393075
"PDGF Pathway",20,393068
"Bladder Cancer",43,393045
"Signaling Pathways in Glioblastoma",83,393005
"Role of Osx and miRNAs in tooth development",27,393061
"SREBF and miR33 in cholesterol and lipid homeostasis",16,393072
"IL1 and megakaryocytes in obesity",24,393064
"Nicotine Activity on Dopaminergic Neurons",23,393065
"ErbB Signaling Pathway",98,392990
"TarBasePathway",12,393076
"Lung fibrosis",58,393030
"Endoderm Differentiation",136,392952
"Chemokine signaling pathway",194,392894
"NLR Proteins",9,393079
"mir-124 predicted interactions with cell cycle and differentiation ",6,393082
"Interleukin-1 Induced Activation of NF-kappa-B",9,393079
"TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer",6,393082
"Integrin-mediated Cell Adhesion",100,392988
"Apoptosis Modulation and Signaling",14,393074
"Homologous recombination",41,393047
"ID signaling pathway",0,393088
"Glucose Homeostasis",13,393075
"DNA Replication",130,392958
"Thyroxine (Thyroid Hormone) Production",8,393080
"Prolactin Signaling Pathway",82,393006
"GPCRs, Class A Rhodopsin-like",270,392818
"IL-6 signaling pathway",0,393088
"IL-5 Signaling Pathway",1,393087
"Complement Activation",22,393066
"GPCRs, Other",115,392973
"Hedgehog Signaling Pathway",48,393040
"Heme Biosynthesis",49,393039
"Nuclear Receptors in Lipid Metabolism and Toxicity",38,393050
"Transcription factor regulation in adipogenesis",22,393066
"Rac1/Pak1/p38/MMP-2 pathway",65,393023
"Wnt Signaling Pathway",161,392927
"G1 to S cell cycle control",68,393020
"Small Ligand GPCRs",22,393066
"NAD Biosynthesis II (from tryptophan)",15,393073
"Estrogen Receptor Pathway",13,393075
"HIF1A and PPARG regulation of glycolysis",9,393079
" Hfe effect on hepcidin production",7,393081
"Ectoderm Differentiation",69,393019
"IL-3 Signaling Pathway",0,393088
"Angiogenesis",23,393065
"VEGFA-VEGFR2 Signaling Pathway",0,393088
"Pathways Affected in Adenoid Cystic Carcinoma",57,393031
"Estrogen signaling pathway",120,392968
"Myometrial Relaxation and Contraction Pathways",157,392931
"Gastric acid production",35,393053
"Glucocorticoid & Mineralcorticoid Metabolism",17,393071
"DNA Damage Response (only ATM dependent)",101,392987
"Oxidative Stress",30,393058
"Simplified Depiction of MYD88 Distinct Input-Output Pathway",17,393071
"Liver X Receptor Pathway",11,393077
"ESC Pluripotency Pathways",117,392971
"RHO GTPases Activate WASPs and WAVEs",41,393047
"Ca2+ activated K+ channels",10,393078
"Essential pentosuria",3,393085
"FasL/ CD95L signaling",5,393083
"TRIF-mediated programmed cell death",12,393076
"Synthesis of very long-chain fatty acyl-CoAs",51,393037
"Platelet sensitization by LDL",23,393065
"vRNP Assembly",6,393082
"Protein folding",105,392983
"CLEC7A/inflammasome pathway",6,393082
"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA",3,393085
"Misspliced GSK3beta mutants stabilize beta-catenin",15,393073
"phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex",16,393072
"Methionine salvage pathway",25,393063
"CREB phosphorylation through the activation of CaMKK",7,393081
"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)",1,393087
"IRAK2 mediated activation of TAK1 complex",12,393076
"Processing and activation of SUMO",13,393075
"Glycosphingolipid metabolism",85,393003
"Signaling by NOTCH1 HD Domain Mutants in Cancer",16,393072
"Regulation of RUNX3 expression and activity",57,393031
"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components",20,393068
"Other interleukin signaling",35,393053
"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)",9,393079
"Plasmalogen biosynthesis",14,393074
"RAF activation",30,393058
"RNA Polymerase II Pre-transcription Events",87,393001
"COPI-dependent Golgi-to-ER retrograde traffic",106,392982
"Activation of DNA fragmentation factor",14,393074
"MGMT-mediated DNA damage reversal",2,393086
"Growth hormone receptor signaling",29,393059
"PKA-mediated phosphorylation of key metabolic factors",7,393081
"Prolonged ERK activation events",276,392812
"Beta-catenin phosphorylation cascade",19,393069
"CRMPs in Sema3A signaling",18,393070
"Defective DHDDS causes retinitis pigmentosa 59",2,393086
"Defective DPM2 causes DPM2-CDG (CDG-1u)",2,393086
"G2/M DNA replication checkpoint",7,393081
"Tryptophan catabolism",48,393040
"TAK1 activates NFkB by phosphorylation and activation of IKKs complex",41,393047
"Phase 1 - inactivation of fast Na+ channels",8,393080
"Nuclear Receptor transcription pathway",84,393004
"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2",2,393086
"Signalling to p38 via RIT and RIN",272,392816
"Trafficking and processing of endosomal TLR",16,393072
"Iron uptake and transport",79,393009
"Polymerase switching on the C-strand of the telomere",17,393071
"PLC beta mediated events",63,393025
"Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",19,393069
"Plasma lipoprotein remodeling",49,393039
"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2",11,393077
"Antimicrobial peptides",122,392966
"Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)",3,393085
"Transcriptional activation of mitochondrial biogenesis",70,393018
"Release of Hh-Np from the secreting cell",8,393080
"Purine salvage",44,393044
"Synthesis of Dolichyl-phosphate",24,393064
"Extrinsic Pathway of Fibrin Clot Formation",6,393082
"Laminin interactions",31,393057
"The role of GTSE1 in G2/M progression after G2 checkpoint",82,393006
"Chondroitin sulfate/dermatan sulfate metabolism",73,393015
"Transport of fatty acids",18,393070
"Meiotic synapsis",63,393025
"FGFR4 ligand binding and activation",17,393071
"SeMet incorporation into proteins",17,393071
"Synthesis of IPs in the ER lumen",9,393079
"Role of phospholipids in phagocytosis",129,392959
"Ionotropic activity of kainate receptors",14,393074
"Nef mediated downregulation of CD28 cell surface expression",3,393085
"Switching of origins to a post-replicative state",73,393015
"Negative regulation of FGFR4 signaling",35,393053
"Role of LAT2/NTAL/LAB on calcium mobilization",378,392710
"TGFBR2 Kinase Domain Mutants in Cancer",5,393083
"Sterols are 12-hydroxylated by CYP8B1",13,393075
"RA biosynthesis pathway",39,393049
"Branched-chain amino acid catabolism",69,393019
"Gastrin-CREB signalling pathway via PKC and MAPK",504,392584
"Transport of connexons to the plasma membrane",22,393066
"Phase I - Functionalization of compounds",301,392787
"RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",68,393020
"Processive synthesis on the C-strand of the telomere",20,393068
"Trafficking of myristoylated proteins to the cilium",7,393081
"VEGF ligand-receptor interactions",8,393080
"Pyruvate metabolism",123,392965
"Regulation of TP53 Expression and Degradation",42,393046
"Class A/1 (Rhodopsin-like receptors)",401,392687
"Epigenetic regulation of gene expression",142,392946
"PI-3K cascade:FGFR1",28,393060
"Formation of the ternary complex, and subsequently, the 43S complex",53,393035
"Polo-like kinase mediated events",18,393070
"DDX58/IFIH1-mediated induction of interferon-alpha/beta",89,392999
"RUNX1 regulates expression of components of tight junctions",5,393083
"Defective SFTPA2 causes idiopathic pulmonary fibrosis (IPF)",2,393086
"RNA Polymerase I Chain Elongation",64,393024
"Cysteine formation from homocysteine",11,393077
"Biological oxidations",548,392540
"VEGFA-VEGFR2 Pathway",372,392716
"SUMO is proteolytically processed",6,393082
"Glycogen storage disease type IV (GBE1)",5,393083
"Phosphate bond hydrolysis by NTPDase proteins",33,393055
"Signaling by FGFR2 IIIa TM",24,393064
"TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain",23,393065
"Intestinal absorption",12,393076
"Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models",27,393061
"Formation of the Editosome",8,393080
"Defective DOLK causes DOLK-CDG (CDG-1m)",2,393086
"TRAF3 deficiency - HSE",4,393084
"IRAK4 deficiency (TLR2/4)",18,393070
"Late Phase of HIV Life Cycle",159,392929
"Defective SLC3A1 causes cystinuria (CSNU)",4,393084
"MyD88 dependent cascade initiated on endosome",107,392981
"Fc epsilon receptor (FCERI) signaling",573,392515
"Ketone body metabolism",31,393057
"N-glycan antennae elongation in the medial/trans-Golgi",46,393042
"Transport of small molecules",976,392112
"Activation of NIMA Kinases NEK9, NEK6, NEK7",9,393079
"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",2,393086
"Beta oxidation of palmitoyl-CoA to myristoyl-CoA",16,393072
"RHO GTPases Activate NADPH Oxidases",25,393063
"GPVI-mediated activation cascade",64,393024
"Repression of WNT target genes",12,393076
"HIV Transcription Elongation",52,393036
"NGF signalling via TRKA from the plasma membrane",506,392582
"RNA Polymerase III Abortive And Retractive Initiation",46,393042
"PIP3 activates AKT signaling",282,392806
"Glycogen storage diseases",16,393072
"Hereditary fructose intolerance",1,393087
"Synthesis of GDP-mannose",11,393077
"FGFR1 ligand binding and activation",21,393067
"Receptor Mediated Mitophagy",11,393077
"TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P",2,393086
"TGF-beta receptor signaling activates SMADs",36,393052
"RSK activation",8,393080
"The role of Nef in HIV-1 replication and disease pathogenesis",29,393059
"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)",4,393084
"Platelet activation, signaling and aggregation",305,392783
"IPs transport between cytosol and ER lumen",3,393085
"Immune System",2562,390526
"NOD1/2 Signaling Pathway",39,393049
"Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)",23,393065
"Synthesis and processing of ENV and VPU",3,393085
"Regulation of Glucokinase by Glucokinase Regulatory Protein",38,393050
"Telomere C-strand (Lagging Strand) Synthesis",38,393050
"Cell death signalling via NRAGE, NRIF and NADE",79,393009
"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)",5,393083
"RHO GTPases activate KTN1",12,393076
"Peroxisomal lipid metabolism",90,392998
"Nuclear import of Rev protein",39,393049
