CHEM_ID,BIOCHEMICAL NAME,RI,MASS,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,INCHIKEY,SMILES,CHEMSPIDER,KEGG,HMDB,PUBCHEM,COMP_ID,CAS,PLATFORM
100000442,quinate,2432.9,191.05611,Xenobiotics,Food Component/Plant,4714,AAWZDTNXLSGCEK-WYWMIBKRBU,O[C@@]1([C@](O)(C[C@@](C(O)=O)(C[C@]1(O)[H])O)[H])[H],10246715,C00296,HMDB03072,6508,18335,77-95-2,LC/MS Polar
100000445,theobromine,1600,181.07201,Xenobiotics,Xanthine Metabolism,4432,YAPQBXQYLJRXSA-UHFFFAOYAW,CN1C=NC(N(C(N2)=O)C)=C1C2=O,5236,C07480,HMDB02825,5429,18392,83-67-0,LC/MS Pos Early
100000447,gentisate,905,153.01933,Amino Acid,Tyrosine Metabolism,210,WXTMDXOMEHJXQO-UHFFFAOYAO,O=C(O)C1=CC(O)=CC=C1O,3350,C00628,HMDB00152,3469,18280,490-79-9,LC/MS Polar
100000453,paraxanthine,2279,179.05745,Xenobiotics,Xanthine Metabolism,4431,QUNWUDVFRNGTCO-UHFFFAOYAS,O=C(N2C)NC1=C(N(C)C=N1)C2=O,4525,C13747,HMDB01860,4687,18254,611-59-6,LC/MS Neg
100000463,indolelactate,2286,204.06661,Amino Acid,Tryptophan Metabolism,279,XGILAAMKEQUXLS-UHFFFAOYAH,OC(C(O)=O)CC1=CNC2=C1C=CC=C2,83867,C02043,HMDB00671,92904,18349,832-97-3,LC/MS Neg
100000467,3-indoxyl sulfate,2222.2,212.0023,Amino Acid,Tryptophan Metabolism,294,BXFFHSIDQOFMLE-UHFFFAOYAB,O=S(OC2=CNC1=CC=CC=C12)(O)=O,9840,,HMDB00682,10258,27672,2642-37-7,LC/MS Neg
100000491,gamma-glutamylphenylalanine,1825,293.11429,Peptide,Gamma-glutamyl Amino Acid,597,XHHOHZPNYFQJKL-QWRGUYRKBO,O=C(O)[C@H](CC1=CC=CC=C1)NC(CC[C@@H](C(O)=O)N)=O,99868,,HMDB00594,111299,33422,7432-24-8,LC/MS Neg
100000551,4-methyl-2-oxopentanoate,2170,129.05571,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",308,BKAJNAXTPSGJCU-UHFFFAOYAG,CC(C)CC(C(O)=O)=O,69,C00233,HMDB00695,70,22116,816-66-0,LC/MS Neg
100000579,ritalinic acid,3207,220.13321,Xenobiotics,Drug - Neurological,5515,INGSNVSERUZOAK-UHFFFAOYAC,O=C(O)C(C1CCCCN1)C2=CC=CC=C2,78360,,HMDB42008,86863,22196,19395-41-6,LC/MS Pos Early
100000580,"1,5-anhydroglucitol (1,5-AG)",802,163.06119,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1161,MPCAJMNYNOGXPB-SLPGGIOYBT,O[C@@H]1[C@@H](CO)OC[C@H](O)[C@H]1O,,C07326,HMDB02712,64960,20675,154-58-5,LC/MS Neg
100000584,2-arachidonoylglycerol (20:4),6170,303.23293,Lipid,Monoacylglycerol,2764,RCRCTBLIHCHWDZ-DOFZRALJBN,CCCCC\C=C/C\C=C/C\C=C/C/C=C\CCCC(OC(CO)CO)=O,4445451,C13856,HMDB04666,5282280,19266,53847-30-6,LC/MS Neg
100000616,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),3000,904.59096,Lipid,Phosphatidylinositol (PI),2452,KRTOMQDUKGRFDJ-OALUUITLBO,CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(O[C@](C(O)(C(O)(C(O)([C@](O)1[H])[H])[H])[H])([C@]1(O)[H])[H])=O)OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)=O,21403055,,HMDB09815,,52449,383907-33-3,LC/MS Pos Late
100000626,sphingosine 1-phosphate,1375,380.25604,Lipid,Sphingosines,3044,DUYSYHSSBDVJSM-KRWOKUGFBM,OP([O-])(OC[C@@]([H])([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[NH3+])=O,4446673,C06124,HMDB00277,5283560,34445,26993-30-6,LC/MS Pos Late
100000639,1-stearoyl-2-oleoyl-GPS (18:0/18:1),3000,790.55926,Lipid,Phosphatidylserine (PS),2403,AJFWREUFUPEYII-PAHWMLEVBX,CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)=O,7826037,,HMDB10163,9547087,19265,,LC/MS Pos Late
100000656,1-stearoyl-GPI (18:0),5794,599.32018,Lipid,Lysophospholipid,2613,LXUGKKVCSTYZFK-DYLKWFMLBW,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O,21403067,,HMDB61696,,19324,796963-93-4,LC/MS Neg
100000657,"1,2-dipalmitoyl-GPC (16:0/16:0)",2450,734.56944,Lipid,Phosphatidylcholine (PC),2181,KILNVBDSWZSGLL-KXQOOQHDBV,CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O,398235,,HMDB00564,452110,19130,63-89-8,LC/MS Pos Late
100000665,docosahexaenoate (DHA; 22:6n3),5525,327.23295,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1495,MBMBGCFOFBJSGT-KUBAVDMBBZ,CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O,393183,C06429,HMDB02183,445580,44675,6217-54-5,LC/MS Neg
100000672,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),2250,706.53813,Lipid,Phosphatidylcholine (PC),2165,RFVFQQWKPSOBED-PSXMRANNBM,CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+](C)(C)C)=O)[H])=O,114798,,HMDB07869,129657,19258,69525-80-0,LC/MS Pos Late
100000687,ciprofloxacin,2724,392.12633,Xenobiotics,Drug - Antibiotic,5222,MYSWGUAQZAJSOK-UHFFFAOYAL,OC(C1=CN(C2CC2)C3=CC(N4CCNCC4)=C(F)C=C3C1=O)=O,2662,C05349,,4011971;2764,57614,85721-33-1,LC/MS Neg
100000706,alpha-hydroxyisocaproate,1840,131.07136,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",312,LVRFTAZAXQPQHI-YFKPBYRVBW,OC(C(CC(C)C)O)=O,75520,C03264,HMDB00746,83697,22132,10303-64-7,LC/MS Neg
100000707,maleate,2640,115.00368,Lipid,"Fatty Acid, Dicarboxylate",1602,VZCYOOQTPOCHFL-UPHRSURJBG,O=C(C=CC(O)=O)O,392248,C01384,HMDB00176,444266,20676,110-16-7,LC/MS Polar
100000708,isovalerate (i5:0),1564,101.0608,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",316,GWYFCOCPABKNJV-UHFFFAOYAV,CC(C)CC(O)=O,10001,C08262,HMDB00718,10430,44656,503-74-2,LC/MS Neg
100000711,4-acetylphenol sulfate,2375,215.00196,Xenobiotics,Benzoate Metabolism,4363,HOFGLAYWQRGTKC-UHFFFAOYAS,O=S(OC1=CC=C(C(C)=O)C=C1)(O)=O,3872009,,,4684006,44620,,LC/MS Neg
100000743,2-hydroxyoctanoate,3736.8,159.10266,Lipid,"Fatty Acid, Monohydroxy",1877,JKRDADVRIYVCCY-UHFFFAOYAG,O=C(C(CCCCCC)O)O,84994,,HMDB02264,94180,22036,617-73-2,LC/MS Neg
100000773,3-hydroxyoctanoate,3446,159.10266,Lipid,"Fatty Acid, Monohydroxy",1897,NDPLAKGOSZHTPH-UHFFFAOYAI,OC(CC(O)=O)CCCCC,24791,,HMDB01954,26613,22001,88930-08-9,LC/MS Neg
100000774,phenyllactate (PLA),2208,165.05571,Amino Acid,Phenylalanine Metabolism,145,VOXXWSYKYCBWHO-UHFFFAOYAI,OC(C(O)=O)CC1=CC=CC=C1,3715,C05607,HMDB00779,3848,22130,828-01-3,LC/MS Neg
100000776,palmitoylcarnitine (C16),1425,400.34214,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",1788,XOMRRQXKHMYMOC-UHFFFAOYAU,[O-]C(CC(OC(CCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O,448,C02990,HMDB00222,461,44681,6865-14-1,LC/MS Pos Late
100000781,hexanoylcarnitine (C6),3358,260.18564,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1770,VVPRQWTYSNDTEA-UHFFFAOYAN,O=C(CCCCC)OC(CC([O-])=O)C[N+](C)(C)C,4932273,,HMDB00705,6426853,32328,6920-35-0,LC/MS Pos Early
100000784,theanine,1180,173.09316,Xenobiotics,Food Component/Plant,4880,DATAGRPVKZEWHA-YFKPBYRVBS,N[C@@H](CCC(NCC)=O)C(O)=O,388498,C01047,HMDB34365,439378,22206,3081-61-6,LC/MS Neg
100000787,N-acetylaspartate (NAA),620.5,174.04079,Amino Acid,Alanine and Aspartate Metabolism,36,OTCCIMWXFLJLIA-BYPYZUCNBM,OC([C@@H](NC(C)=O)CC(O)=O)=O,58576,C01042,HMDB00812,65065,22185,997-55-7;997-55-7,LC/MS Neg
100000792,dehydroepiandrosterone sulfate (DHEA-S),4745,367.15846,Lipid,Androgenic Steroids,3213,CZWCKYRVOZZJNM-USOAJAOKBK,[H][C@@]1(CC[C@]2(C)[C@]3(CCC2=O)[H])[C@@]4(C)C(C[C@H](OS(=O)(O)=O)CC4)=CC[C@]13[H],12074,C04555,HMDB01032,12594,32425,651-48-9,LC/MS Neg
100000802,acetylcarnitine (C2),2282,204.12304,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",1766,RDHQFKQIGNGIED-MRVPVSSYBU,C[N+](C)(C)C[C@H](OC(C)=O)CC([O-])=O,5406074,C02571,HMDB00201,1,32198,5080-50-2,LC/MS Pos Early
100000808,cysteine s-sulfate,2273,199.96928,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",417,NOKPBJYHPHHWAN-REOHCLBHBK,N[C@H](C(O)=O)CSS(O)(=O)=O,102939,C05824,HMDB00731,115015,22176,1637-71-4,LC/MS Polar
100000840,tartronate (hydroxymalonate),610,118.99859,Xenobiotics,Food Component/Plant,5005,ROBFUDYVXSDBQM-UHFFFAOYAD,O=C(C(O)C(O)=O)O,44,C02287,HMDB35227,45,20693,80-69-3,LC/MS Neg
100000841,oxalate (ethanedioate),603,88.98803,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4211,MUBZPKHOEPUJKR-UHFFFAOYAQ,O=C(O)C(O)=O,946,C00209,HMDB02329,971,20694,144-62-7,LC/MS Neg
100000846,erythritol,1491,167.05611,Xenobiotics,Food Component/Plant,4705,UNXHWFMMPAWVPI-UHFFFAOYAU,OCC(O)C(CO)O,13835932,C00503,HMDB02994,222285,20699,149-32-6,LC/MS Polar
100000861,"2,3-dihydroxypyridine",1420,112.03931,Xenobiotics,Food Component/Plant,4585,GGOZGYRTNQBSSA-UHFFFAOYAS,OC1=NC=CC=C1O,26153,,,28115,21132,16867-04-2,LC/MS Pos Early
100000870,saccharin,2000,181.99173,Xenobiotics,Food Component/Plant,4848,CVHZOJJKTDOEJC-UHFFFAOYAR,O=S(C1=CC=CC=C1C2=O)(N2)=O,4959,D01085,HMDB29723,5143,21151,81-07-2,LC/MS Neg
100000882,3-hydroxymyristate,5335,243.19656,Lipid,"Fatty Acid, Monohydroxy",1903,ATRNZOYKSNPPBF-UHFFFAOYAM,CCCCCCCCCCCC(O)CC(O)=O,15252,,,16064,21158,3422-31-9,LC/MS Neg
100000900,iminodiacetate (IDA),830,134.04479,Xenobiotics,Chemical,5792,NBZBKCUXIYYUSX-UHFFFAOYAF,O=C(O)CNCC(O)=O,8557,C19911,HMDB11753,8897,21025,142-73-4,LC/MS Pos Early
100000924,1-oleoylglycerol (18:1),6650,281.24858,Lipid,Monoacylglycerol,2746,RZRNAYUHWVFMIP-KTKRTIGZBM,O=C(OCC(O)CO)CCCCCCC/C=C\CCCCCCCC,4446588,,HMDB11567,5283468,21184,111-03-5,LC/MS Neg
100000936,3-methyl-2-oxobutyrate,1465,115.04006,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",379,QHKABHOOEWYVLI-UHFFFAOYAY,OC(C(C(C)C)=O)=O,48,C00141,HMDB00019,49,44526,3715-29-5,LC/MS Neg
100000939,"1,6-anhydroglucose",1175.5,207.05102,Xenobiotics,Food Component/Plant,4581,TWNIBLMWSKIRAT-VFUOTHLCBX,OC1C(CO2)OC2C(O)C1O,9587432,,HMDB00640,2724705,21049,498-07-7,LC/MS Polar
100000943,2-oleoylglycerol (18:1),6500,281.24858,Lipid,Monoacylglycerol,2762,UPWGQKDVAURUGE-KTKRTIGZBO,O=C(OC(CO)CO)CCCCCCC/C=C\CCCCCCCC,4478086,,HMDB11537,5319879,21232,3443-84-3,LC/MS Neg
100000961,homoarginine,2882,189.13461,Amino Acid,Urea cycle; Arginine and Proline Metabolism,449,QUOGESRFPZDMMT-YFKPBYRVBD,N[C@H](C(O)=O)CCCCNC(N)=N,8732,C01924,HMDB00670,9085,22137,156-86-5,LC/MS Pos Early
100000963,homocitrulline,3006.8,188.10406,Amino Acid,Urea cycle; Arginine and Proline Metabolism,450,XIGSAGMEBXLVJJ-YFKPBYRVBI,N[C@H](C(O)=O)CCCCNC(N)=O,58582,C02427,HMDB00679,65072,22138,1190-49-4,LC/MS Polar
100000987,2-linoleoylglycerol (18:2),6250,279.23293,Lipid,Monoacylglycerol,2763,IEPGNWMPIFDNSD-HZJYTTRNBY,O=C(OC(CO)CO)CCCCCCC/C=C\C/C=C\CCCCC,4517636,,HMDB11538,5365676,32506,3443-82-1,LC/MS Neg
100000997,3-hydroxydecanoate,4634.7,187.13396,Lipid,"Fatty Acid, Monohydroxy",1899,FYSSBMZUBSBFJL-UHFFFAOYAJ,OC(CC(O)=O)CCCCCCC,24790,,HMDB02203,26612,22053,5561-87-5,LC/MS Neg
100000998,citramalate,1224,166.071,Amino Acid,Glutamate Metabolism,61,XFTRTWQBIOMVPK-UHFFFAOYAT,OC(CC(O)(C)C(O)=O)=O,1051,C00815,HMDB00426,1081,22158,6236-10-8,LC/MS Pos Early
100001002,EDTA,643,291.08339,Xenobiotics,Chemical,5783,KCXVZYZYPLLWCC-UHFFFAOYAG,O=C(CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O)O,5826,C00284,HMDB15109,6049,22163,60-00-4,LC/MS Neg
100001006,N-acetylglycine,826,118.04987,Amino Acid,"Glycine, Serine and Threonine Metabolism",2,OKJIRPAQVSHGFK-UHFFFAOYAB,O=C(O)C(NC(C)=O)[H],10507,,HMDB00532,10972,27710,543-24-8,LC/MS Pos Early
100001007,ribonate,2425,165.04046,Carbohydrate,Pentose Metabolism,1204,QXKAIJAYHKCRRA-BXXZVTAOBP,OC([C@H](O)[C@H](O)[C@H](O)CO)=O,4574162,C01685,HMDB00867,5460677,27731,5336-08-3,LC/MS Polar
100001022,threonate,2384,135.02989,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4208,JPIJQSOTBSSVTP-GBXIJSLDBD,O=C(O)C(O)([H])C([H])(O)CO,133224,C01620,HMDB00943,151152,27738,70753-61-6,LC/MS Polar
100001026,galactonate,3085,195.05102,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1310,RGHNJXZEOKUKBD-SQOUGZDYBY,O[C@H]([C@H]([C@H]([C@@H](CO)O)O)O)C(O)=O,114198,C00880,HMDB00565,128869,27719,299-28-5,LC/MS Polar
100001034,indoleacetate,2200,174.05605,Amino Acid,Tryptophan Metabolism,280,SEOVTRFCIGRIMH-UHFFFAOYAT,OC(CC1=CNC2=C1C=CC=C2)=O,780,C00954,HMDB00197,802,27513,6505-45-9,LC/MS Neg
100001040,1-linoleoylglycerol (18:2),6477,279.23293,Lipid,Monoacylglycerol,2747,WECGLUPZRHILCT-HZJYTTRNBQ,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O,4446589,,,5283469,27447,2277-28-3,LC/MS Neg
100001051,1-methylhistidine,1227,168.07785,Amino Acid,Histidine Metabolism,68,BRMWTNUJHUMWMS-LURJTMIEBU,N[C@H](C(O)=O)CC1=CN(C)C=N1,83153,C01152,HMDB00001,92105,30460,332-80-9,LC/MS Neg
100001054,butyrylcarnitine (C4),2860,232.15434,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1699,QWYFHHGCZUCMBN-SECBINFHBA,CCCC(O[C@H](CC([O-])=O)C[N+](C)(C)C)=O,184820,C02862,HMDB02013,439829,32412,25576-40-3,LC/MS Pos Early
100001055,isobutyrylcarnitine (C4),2810,232.15434,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",382,,CC(C)C(O[C@@H](CC([O-])=O)C[N+](C)(C)C)=O,,,HMDB00736,168379,33441,25518-49-4,LC/MS Pos Early
100001064,glycolithocholate,5357.1,432.31193,Lipid,Secondary Bile Acid Metabolism,3366,XBSQTYHEGZTYJE-OETIFKLTBJ,O[C@@H](C[C@]1(CC[C@]([C@@]([H])2CC3)([H])[C@](CC[C@@]2(C)[C@]3([H])[C@@H](CCC(NCC(O)=O)=O)C)4[H])[H])CC[C@@]14C,103116,C15557,HMDB00698,115245,31912,474-74-8,LC/MS Neg
100001073,androsterone sulfate,5022,369.17411,Lipid,Androgenic Steroids,3226,ZMITXKRGXGRMKS-CZTOYULQBN,C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@H](OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC1)C2=O,19988780,,HMDB02759,159663,31591,2479-86-9,LC/MS Neg
100001083,indolepropionate,2795,188.0717,Amino Acid,Tryptophan Metabolism,283,GOLXRNDWAUTYKT-UHFFFAOYAW,OC(CCC1=CNC2=C1C=CC=C2)=O,3613,,HMDB02302,3744,32405,830-96-6,LC/MS Neg
100001086,N-(2-furoyl)glycine,1525,168.03023,Xenobiotics,Food Component/Plant,4774,KSPQDMRTZZYQLM-UHFFFAOYAM,O=C(NCC(O)=O)C1=CC=CO1,20549,,HMDB00439,21863,31536,5657-19-2;5657-19-2,LC/MS Neg
100001092,trigonelline (N'-methylnicotinate),1388,138.05496,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4180,WWNNZCOKKKDOPX-UHFFFAOYAV,C[N+]1=CC(C([O-])=O)=CC=C1,5369,C01004,HMDB00875,5570,32401,535-83-1,LC/MS Pos Early
100001102,dodecanedioate (C12-DC),2990,229.14453,Lipid,"Fatty Acid, Dicarboxylate",1617,TVIDDXQYHWJXFK-UHFFFAOYAC,OC(CCCCCCCCCCC(O)=O)=O,12213,C02678,HMDB00623,12736,32388,693-23-2,LC/MS Neg
100001104,N-acetyltyrosine,1680,222.07718,Amino Acid,Tyrosine Metabolism,157,CAHKINHBCWCHCF-JTQLQIEIBT,OC1=CC=C(C[C@@H](C(O)=O)NC(C)=O)C=C1,61606,,HMDB00866,68310,32390,537-55-3,LC/MS Neg
100001106,"1,3-dimethylurate",1671.4,195.05236,Xenobiotics,Xanthine Metabolism,4436,OTSBKHHWSQYEHK-UHFFFAOYAM,CN1C(N(C(N2)=C(C1=O)NC2=O)C)=O,63527,,HMDB01857,70346,32391,944-73-0,LC/MS Neg
100001108,3-methylxanthine,1700,165.0418,Xenobiotics,Xanthine Metabolism,4441,GMSNIKWWOQHZGF-UHFFFAOYAL,O=C1N(C)C2=C(N=CN2)C(N1)=O,63805,C16357,HMDB01886,70639,32445,1076-22-8,LC/MS Neg
100001112,3-hydroxylaurate,5175,215.16526,Lipid,"Fatty Acid, Monohydroxy",1902,MUCMKTPAZLSKTL-UHFFFAOYAV,OC(CC(CCCCCCCCC)O)=O,85026,,HMDB00387,94216,32457,53941-38-1,LC/MS Neg
100001121,pyridoxate,2185,182.04588,Cofactors and Vitamins,Vitamin B6 Metabolism,4305,HXACOUQIXZGNBF-UHFFFAOYAG,OC1=C(C(O)=O)C(CO)=CN=C1C,6467,C00847,HMDB00017,6723,31555,82-82-6,LC/MS Neg
100001126,gamma-glutamylvaline,2700,247.12885,Peptide,Gamma-glutamyl Amino Acid,601,SITLTJHOQZFJGG-UUEFVBAFBQ,O=C(N[C@H]([C@@](O)=O)C(C)C)CC[C@@H]([C@](O)=O)N,,,HMDB11172,7015683,43829,2746-34-1,LC/MS Pos Early
100001139,phenolphthalein beta-D-glucuronide,3520,493.11402,Xenobiotics,Chemical,5724,FXJYOZKDDSONLX-XADSOVDIBV,O[C@H]([C@H]([C@@H]([C@@H]([C@](O)=O)O1)O)O)[C@@H]1OC2=CC=C(C3(C4=CC=C(O)C=C4)OC(C5=C3C=CC=C5)=O)C=C2,2297558,,,3032634,32396,6820-54-8,LC/MS Neg
100001145,3-hydroxysebacate,1282,217.10814,Lipid,"Fatty Acid, Monohydroxy",1901,OQYZCCKCJQWHIE-UHFFFAOYAK,OC(CC(O)CCCCCCC(O)=O)=O,2285525,,HMDB00350,3017884,31943,73141-46-5,LC/MS Neg
100001148,5-hydroxyhexanoate,1267,131.07136,Lipid,"Fatty Acid, Monohydroxy",1912,YDCRNMJQROAWFT-UHFFFAOYAI,CC(O)CCCC(O)=O,149280,,HMDB00525,170748,31938,44843-89-2,LC/MS Neg
100001149,3-methylcrotonylglycine,1980,158.08117,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",326,PFWQSHXPNKRLIV-UHFFFAOYAM,O=C(O)CNC(/C=C(C)/C)=O,148224,,HMDB00459,169485,31940,33008-07-0,LC/MS Pos Early
100001150,propionylglycine,1502.5,130.05096,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1703,WOMAZEJKVZLLFE-UHFFFAOYAY,O=C(CC)NCC(O)=O,89122,,HMDB00783,98681,31932,21709-90-0,LC/MS Polar
100001151,butyrylglycine,1470,144.06661,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1700,WPSSBBPLVMTKRN-UHFFFAOYAS,O=C(CNC(CCC)=O)O,79766,,HMDB00808,88412,31850,20208-73-5,LC/MS Neg
100001162,propionylcarnitine (C3),2590,218.13869,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1702,UFAHZIUFPNSHSL-UHFFFAOYAT,[O-]C(CC(OC(CC)=O)C[N+](C)(C)C)=O,96904,C03017,HMDB00824,107738,32452,17298-37-2,LC/MS Pos Early
100001167,pro-hydroxy-pro,2128,229.11829,Amino Acid,Urea cycle; Arginine and Proline Metabolism,470,ONPXCLZMBSJLSP-ALKRTJFJBT,OC([C@H]1N(C([C@H]2NCCC2)=O)CC(O)C1)=O,9847785,,HMDB06695,11673055,35127,18684-24-7,LC/MS Pos Early
100001170,3-hydroxy-2-ethylpropionate,975,117.05571,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",364,ZMZQVAUJTDKQGE-UHFFFAOYAZ,O=C(O)C(CC)CO,164207,,HMDB00396,188979,32397,4374-62-3,LC/MS Neg
100001178,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),2800,239.09249,Lipid,"Fatty Acid, Dicarboxylate",1636,WMCQWXZMVIETAO-UHFFFAOYAJ,CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1,110498,,HMDB61112,123979,31787,86879-39-2,LC/MS Neg
100001181,docosapentaenoate (n3 DPA; 22:5n3),5571,329.2486,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1494,YUFFSWGQGVEMMI-RCHUDCCIBW,O=C(O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,,C16513,HMDB06528,6441454,32504,2234-74-4,LC/MS Neg
100001182,docosadienoate (22:2n6),6034,335.29555,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1509,HVGRZDASOHMCSK-AVQMFFATBO,CCCCC/C=C/C/C=C/CCCCCCCCCCCC(O)=O,4445934,C16533,HMDB61714,5282807,32415,7370-49-2,LC/MS Neg
100001193,adrenate (22:4n6),5678,331.26425,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1507,TWSWSIQAPQLDBP-CGRWFSSPBH,O=C(CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)O,4445971,C16527,HMDB02226,5497181,32980,2091-25-0,LC/MS Neg
100001197,10-undecenoate (11:1n1),5085.8,183.13905,Lipid,Medium Chain Fatty Acid,1432,FRPZMMHWLSIFAZ-UHFFFAOYAJ,O=C(CCCCCCCCC=C)O[H],10771160,C13910,HMDB33724,14891,32497,1333-28-4,LC/MS Neg
100001198,myristoleate (14:1n5),5346.9,225.186,Lipid,Long Chain Monounsaturated Fatty Acid,1458,YWWVWXASSLXJHU-WAYWQWQTBZ,O=C(CCCCCCC/C=C\CCCC)O,4444564,C08322,HMDB02000,5281119,32418,544-64-9,LC/MS Neg
100001208,1-methyl-4-imidazoleacetate,2064,141.06586,Amino Acid,Histidine Metabolism,86,ZHCKPJGJQOPTLB-UHFFFAOYAW,O=C(O)CC1=CN(C)C=N1,68319,C05828,HMDB02820,75810,32350,2625-49-2,LC/MS Pos Early
100001211,sebacate (C10-DC),2147,201.11323,Lipid,"Fatty Acid, Dicarboxylate",1612,CXMXRPHRNRROMY-UHFFFAOYAE,OC(CCCCCCCCC(O)=O)=O,5004,C08277,HMDB00792,5192,32398,111-20-6,LC/MS Polar
100001216,delta-tocopherol,2259,402.3492,Cofactors and Vitamins,Tocopherol Metabolism,4219,GZIFEOYASATJEH-VHFRWLAGBS,OC1=CC(C)=C2O[C@@](CCC[C@H](C)CCC[C@H](C)CCCC(C)C)(C)CCC2=C1,83144,C14151,HMDB02902,92094,33418,119-13-1,LC/MS Pos Late
100001226,I-urobilinogen,4190,591.31881,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4266,OBHRVMZSZIDDEK-UHFFFAOYAH,CC1=C(CC(NC2=O)C(CC)=C2C)NC(CC3=C(CCC(O)=O)C(C)=C(CC(NC4=O)C(C)=C4CC)N3)=C1CCC(O)=O,24980,C05790,HMDB04157,26818,32426,14684-37-8,LC/MS Neg
100001229,stearidonate (18:4n3),5395,275.20165,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1489,JIWBIWFOSCKQMA-LTKCOYKYBT,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O,4471933,C16300,HMDB06547,5312508,33969,111174-40-4,LC/MS Neg
100001232,5-dodecenoate (12:1n7),5224,197.1547,Lipid,Medium Chain Fatty Acid,1436,IJBFSOLHRKELLR-FPLPWBNLBG,CCCCCC\C=C/CCCC(O)=O,4471803,,HMDB00529,5312378,33968,2430-94-6,LC/MS Neg
100001247,octanoylcarnitine (C8),950,288.21694,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1777,CXTATJFJDMJMIY-UHFFFAOYAP,[O-]C(CC(C[N+](C)(C)C)OC(CCCCCCC)=O)=O,110274,C02838,HMDB00791,123701,33936,3671-77-0,LC/MS Pos Late
100001250,tauro-beta-muricholate,4774,514.28439,Lipid,Primary Bile Acid Metabolism,3335,XSOLDPYUICCHJX-OEYGYFRSBZ,O=S(CCNC(CC[C@@H](C)[C@@]1([H])CCC2C3[C@@H](O)[C@@H](O)[C@]4([H])C[C@H](O)CC[C@]4(C)C3CC[C@]12C)=O)(O)=O,147312,,HMDB00932,168408,33983,25696-60-0,LC/MS Neg
