"","inPathway","outPathway"
"Ethylmalonic Encephalopathy",42,90452
"Tyrosine Metabolism",149,90345
"Alteplase Pathway",4,90490
"Naltrexone Action Pathway",11,90483
"Gefitinib Pathway",1,90493
"Hyperprolinemia Type II",53,90441
"Omeprazole Pathway",16,90478
"Esomeprazole Pathway",13,90481
"Salsalate Action Pathway",65,90429
"Galactosemia II (GALK)",20,90474
"Timolol Action Pathway",12,90482
"Procaine Pathway",11,90483
"Chloroprocaine Pathway",11,90483
"Fructose-1,6-diphosphatase deficiency",35,90459
"Quinapril Metabolism Pathway",4,90490
"Nifedipine Pathway",12,90482
"Sialuria or French Type Sialuria1",32,90462
"Pindolol Pathway",12,90482
"Sotalol Action Pathway",12,90482
"Isradipine Pathway",12,90482
"Clopidogrel Pathway",10,90484
"Trandolapril Metabolism Pathway",3,90491
"Carnitine-acylcarnitine translocase deficiency",14,90480
"D-glyceric acidura",24,90470
"Multiple carboxylase deficiency, neonatal or early onset form",7,90487
"Spirapril Pathway",7,90487
"Adefovir Dipivoxil Metabolism Pathway",4,90490
"Joubert syndrome",16,90478
"Phytanic Acid Peroxisomal Oxidation",26,90468
"Dibucaine Pathway",11,90483
"Galactosemia",35,90459
"Cystathionine Beta-Synthase Deficiency",43,90451
"Hyperprolinemia Type I",53,90441
"Sulindac Pathway",65,90429
"Mucopolysaccharidosis VI. Sly syndrome",29,90465
"Paromomycin Action Pathway",20,90474
"UMP Synthase Deiciency (Orotic Aciduria)",59,90435
"Dezocine Action Pathway",11,90483
"Dimethylthiambutene Action Pathway",10,90484
"Repaglinide Pathway",5,90489
"Mycophenolic Acid Metabolism Pathway",17,90477
"Carteolol Action Pathway",12,90482
"Phenylacetate Metabolism",9,90485
"Lamivudine Metabolism Pathway",14,90480
"Citalopram Metabolism Pathway",13,90481
"Epinephrine Action Pathway",12,90482
"Telithromycin Pathway",20,90474
"Demeclocycline Pathway",20,90474
"Morphine Pathway",14,90480
"Hypoacetylaspartia",34,90460
"Intracellular Signalling Through Adenosine Receptor A2a and Adenosine",11,90483
"Primary Hyperoxaluria Type I",17,90477
"Bivalirudin Pathway",4,90490
"Cystinuria",8,90486
"Etoricoxib Action Pathway",65,90429
"Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency)",42,90452
"4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency",49,90445
"Sucrase-isomaltase deficiency",29,90465
"Fumarase deficiency",32,90462
"Warfarin Pathway",6,90488
"Nepafenac Action Pathway",65,90429
"Maple Syrup Urine Disease",59,90435
"Bopindolol Action Pathway",12,90482
"Congenital disorder of glycosylation CDG-IId",20,90474
"Glycogenosis, Type VII. Tarui disease",25,90469
"Urea Cycle",49,90445
"Quinapril Pathway",8,90486
"Minocycline Pathway",20,90474
"Nizatidine Pathway",14,90480
"Differentiation of white and brown adipocyte   ",0,90494
"Dopaminergic Neurogenesis",1,90493
"Copper homeostasis",2,90492
"Allograft Rejection",63,90431
"MAPK Cascade",30,90464
"MECP2 and Associated Rett Syndrome",3,90491
"ATM Signaling Network in Development and Disease ",1,90493
"NAD Biosynthesis II (from tryptophan)",18,90476
"Photodynamic therapy-induced NF-kB survival signaling",35,90459
"Cell Cycle",691,89803
"EDA Signalling in Hair Follicle Development",0,90494
"Brain-Derived Neurotrophic Factor (BDNF) signaling pathway",7,90487
"ApoE and miR-146 in inflammation and atherosclerosis",1,90493
"Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation",43,90451
"Phase I biotransformations, non P450",4,90490
"AMP-activated Protein Kinase (AMPK) Signaling",27,90467
"Arylamine metabolism",3,90491
"ID signaling pathway",0,90494
"EBV LMP1 signaling",2,90492
"mRNA Processing",128,90366
"Hedgehog Signaling Pathway",0,90494
"GPCRs, Other",114,90380
"Calcium Regulation in the Cardiac Cell",151,90343
"Vitamin B12 Metabolism",17,90477
"Differentiation Pathway",20,90474
"ACE Inhibitor Pathway",25,90469
"Glycogen Metabolism",70,90424
"ATR Signaling",0,90494
"Transcriptional activation by NRF2",18,90476
"Toll-like Receptor Signaling",3,90491
"Blood Clotting Cascade",0,90494
"VEGFA-VEGFR2 Signaling Pathway",0,90494
"Signaling of Hepatocyte Growth Factor Receptor",34,90460
"Alzheimers Disease",8,90486
"Parkinsons Disease Pathway",42,90452
"Circadian rythm related genes",207,90287
"G13 Signaling Pathway",38,90456
"Angiogenesis",12,90482
"Amyotrophic lateral sclerosis (ALS)",63,90431
"Nucleotide Metabolism",33,90461
"Nanoparticle-mediated activation of receptor signaling",0,90494
"Insulin signalling in human adipocytes (normal condition)",2,90492
"Neural Crest Differentiation",6,90488
"Dopamine metabolism",32,90462
"Photodynamic therapy-induced HIF-1 survival signaling",36,90458
"GPCRs, Class C Metabotropic glutamate, pheromone",15,90479
"Energy Metabolism",47,90447
"Serotonin Transporter Activity",12,90482
"Wnt Signaling Pathway Netpath",0,90494
"Irinotecan Pathway1",23,90471
"TLR4 Signaling and Tolerance",13,90481
"miR-509-3p alteration of YAP1/ECM axis",0,90494
"Estrogen metabolism",20,90474
"Trans-sulfuration pathway",13,90481
"Interferon type I signaling pathways",12,90482
"Liver X Receptor Pathway",11,90483
"Initiation of transcription and translation elongation at the HIV-1 LTR",4,90490
"EGF/EGFR Signaling Pathway",2,90492
"Endothelin Pathways",2,90492
"Dual hijack model of Vif in HIV infection",0,90494
"FTO Obesity Variant Mechanism",1,90493
"Histone Modifications",1,90493
"Regulation of Microtubule Cytoskeleton",2,90492
"One Carbon Metabolism",46,90448
"Cytoplasmic Ribosomal Proteins",88,90406
"TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)",18,90476
"T-Cell antigen Receptor (TCR)  Signaling Pathway",0,90494
"H19 action Rb-E2F1 signaling and CDK-β-catenin activity",0,90494
"Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling",0,90494
"Osteoclast Signaling",4,90490
"EV release from cardiac cells and their functional effects",0,90494
"SRF and miRs in Smooth Muscle Differentiation and Proliferation",1,90493
"Integrated Cancer Pathway",0,90494
"Interleukin-11 Signaling Pathway",44,90450
"Target Of Rapamycin (TOR) Signaling",2,90492
"miR-222 in Exercise-Induced Cardiac Growth",0,90494
"PI3K-AKT-mTOR signaling pathway and therapeutic opportunities",2,90492
"Zinc homeostasis",37,90457
"PPAR Alpha Pathway",0,90494
"Monoamine Transport",45,90449
"Tgif disruption of Shh signaling",0,90494
"MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ",4,90490
"DNA Damage Response",11,90483
"Estrogen signaling pathway",22,90472
"Oxidation by Cytochrome P450",5,90489
"Senescence and Autophagy in Cancer",99,90395
"Osteoblast Signaling",5,90489
"Extracellular vesicle-mediated signaling in recipient cells",28,90466
"Iron metabolism in placenta",2,90492
"Amplification and Expansion of Oncogenic Pathways as Metastatic Traits",1,90493
"GPCRs, Class B Secretin-like",23,90471
"Melatonin metabolism and effects",19,90475
"NLR Proteins",9,90485
"Cytokines and Inflammatory Response",30,90464
"Kennedy pathway",10,90484
"Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds",13,90481
"RalA downstream regulated genes",12,90482
"ESC Pluripotency Pathways",1,90493
"Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling",23,90471
"Notch Signaling Pathway",2,90492
"Signal Transduction of S1P Receptor",25,90469
"Osteopontin Signaling",13,90481
"Fatty Acid Biosynthesis1",110,90384
"Signaling Pathways in Glioblastoma",2,90492
"TP53 Network",12,90482
"Codeine and Morphine Metabolism",15,90479
"miRNAs involved in DNA damage response",15,90479
"Microglia Pathogen Phagocytosis Pathway",1,90493
"Prostaglandin Synthesis and Regulation",36,90458
"Glycolysis and Gluconeogenesis",55,90439
"Nuclear Receptors",43,90451
"Imatinib and Chronic Myeloid Leukemia",1,90493
"Prolactin Signaling Pathway",2,90492
"Homologous recombination",0,90494
"NRF2 pathway",0,90494
"Human Thyroid Stimulating Hormone (TSH) signaling pathway",58,90436
"Non-homologous end joining",1,90493
"Wnt Signaling Pathway",66,90428
"Matrix Metalloproteinases",30,90464
"G1 to S cell cycle control",68,90426
"IL17 signaling pathway",31,90463
"Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway",0,90494
"Insulin signalling in human adipocytes (diabetic condition)",2,90492
"Peptide GPCRs",76,90418
" Hfe effect on hepcidin production",0,90494
"Apoptosis Modulation and Signaling",13,90481
"MFAP5-mediated ovarian cancer cell motility and invasiveness",3,90491
"IL-2 Signaling Pathway",0,90494
"Overview of nanoparticle effects",2,90492
"Development of pulmonary dendritic cells and macrophage subsets",0,90494
"T-Cell Receptor and Co-stimulatory Signaling",29,90465
"Small Ligand GPCRs",21,90473
"Metapathway biotransformation",13,90481
"TGF-beta Receptor Signaling",54,90440
"Interactome of polycomb repressive complex 2 (PRC2) ",0,90494
"Mesodermal Commitment Pathway",0,90494
"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway",0,90494
"Regulation of Actin Cytoskeleton",235,90259
"Nicotine Activity on Dopaminergic Neurons",22,90472
"Wnt Signaling in Kidney Disease",1,90493
"Serotonin Receptor 2 and STAT3 Signaling",4,90490
"Gastric Cancer Network 2",31,90463
"White fat cell differentiation",1,90493
"Striated Muscle Contraction",45,90449
"mir34a and TGIF2 in osteoclastogenesis",1,90493
"p38 MAPK Signaling Pathway",34,90460
"B Cell Receptor Signaling Pathway",0,90494
"Estrogen Receptor Pathway",0,90494
"Methylation Pathways",5,90489
"Adipogenesis",131,90363
"Aryl Hydrocarbon Receptor",26,90468
"Hypertrophy Model",20,90474
"miRs in Muscle Cell Differentiation",18,90476
"TCA Cycle",36,90458
"IL-3 Signaling Pathway",0,90494
"Biogenic Amine Synthesis",19,90475
"Eukaryotic Transcription Initiation",41,90453
"Peroxisomal beta-oxidation of tetracosanoyl-CoA",8,90486
"NAD metabolism, sirtuins and aging",2,90492
"Androgen receptor signaling pathway",1,90493
"Butyrate-induced histone acetylation",3,90491
"AGE/RAGE pathway",0,90494
"DNA Damage Response (only ATM dependent)",60,90434
"Type II diabetes mellitus",52,90442
"Canonical and Non-Canonical TGF-B signaling",0,90494
"Wnt Signaling Pathway and Pluripotency",97,90397
"Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs)",7,90487
"IL-4 Signaling Pathway",1,90493
"Nanoparticle triggered regulated necrosis",2,90492
"Primary Focal Segmental Glomerulosclerosis FSGS",2,90492
"Tryptophan metabolism",233,90261
"TGF-beta Signaling Pathway",1,90493
"GPCRs, Class A Rhodopsin-like",268,90226
"Physiological and Pathological Hypertrophy  of the Heart",24,90470
"Proteasome Degradation",61,90433
"Valproic acid pathway",18,90476
"LncRNA-mediated mechanisms of therapeutic resistance",0,90494
"Nuclear Receptors in Lipid Metabolism and Toxicity",41,90453
"Diclofenac Metabolic Pathway",6,90488
"EPO Receptor Signaling",26,90468
"Endochondral Ossification",66,90428
"Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways",97,90397
"Hypoxia-mediated EMT and Stemness",2,90492
"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression",10,90484
"Quercetin and Nf-kB/ AP-1 Induced Cell Apoptosis",6,90488
"Acetylcholine Synthesis",13,90481
"Lung fibrosis",0,90494
"Robo4 and VEGF Signaling Pathways Crosstalk",0,90494
"Sulfation Biotransformation Reaction",5,90489
"Nicotine Metabolism",16,90478
"Pathogenic Escherichia coli infection",59,90435
"TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway",0,90494
"RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway",2,90492
"Globo Sphingolipid Metabolism",7,90487
"Pentose Phosphate Pathway1",87,90407
"Influenza A virus infection",13,90481
"IL-6 signaling pathway",0,90494
"Alpha 6 Beta 4 signaling pathway",0,90494
"Drug Induction of Bile Acid Pathway",43,90451
"Leptin signaling pathway",0,90494
"Statin Pathway",38,90456
"Eicosanoid Synthesis",30,90464
"Cholesterol Biosynthesis",84,90410
"Thyroxine (Thyroid Hormone) Production",9,90485
"Nucleotide GPCRs",13,90481
"Canonical  and Non-canonical Notch signaling",1,90493
"NAD+ biosynthetic pathways",1,90493
"Preimplantation Embryo",0,90494
"BDNF-TrkB Signaling",2,90492
"TarBasePathway",0,90494
"Glucocorticoid & Mineralcorticoid Metabolism",19,90475
"Leptin Insulin Overlap",0,90494
"Spinal Cord Injury",10,90484
"Structural Pathway of Interleukin 1 (IL-1)",7,90487
"Selenium Metabolism and Selenoproteins",48,90446
"Alanine and aspartate metabolism",52,90442
"One carbon metabolism and related pathways",14,90480
"Integrated Breast Cancer Pathway",37,90457
"Heme Biosynthesis",48,90446
"Amino Acid metabolism",68,90426
"Monoamine GPCRs",35,90459
"miR-148a/miR-31/FIH1/HIF1α-Notch signaling in glioblastoma ",0,90494
"Oxidative phosphorylation",153,90341
"Follicle Stimulating Hormone (FSH) signaling pathway",0,90494
"Farnesoid X Receptor  Pathway",20,90474
"Glial Cell Differentiation",0,90494
"miR-517 relationship with ARCN1 and USP1",0,90494
"BMP Signaling Pathway in Eyelid Development",0,90494
"TNF alpha Signaling Pathway",5,90489
"Deregulation of Rab and Rab Effector Genes in Bladder Cancer",0,90494
"Evolocumab Mechanism",1,90493
"Caffeine and Theobromine metabolism",10,90484
"Apoptosis Modulation by HSP70",18,90476
"Mitochondrial LC-Fatty Acid Beta-Oxidation",20,90474
"Tamoxifen metabolism",18,90476
"Role of Osx and miRNAs in tooth development",2,90492
"Secretion of Hydrochloric Acid in Parietal Cells",8,90486
"Proprotein convertase subtilisin/kexin type 9 (PCSK9) mediated LDL receptor degradation",0,90494
"Glutathione metabolism",121,90373
"Oncostatin M Signaling Pathway",0,90494
"Oxidative Stress",29,90465
"Transcription factor regulation in adipogenesis",0,90494
"Heart Development",44,90450
"NAD+ metabolism",2,90492
"Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex",0,90494
"Kit receptor signaling pathway",0,90494
"Electron Transport Chain",112,90382
"Fluoropyrimidine Activity",50,90444
"Nicotine Activity on Chromaffin Cells",7,90487
"Vitamin A and Carotenoid Metabolism",58,90436
"Amino acid conjugation",24,90470
"Synaptic Vesicle Pathway",3,90491
"Benzo(a)pyrene metabolism",7,90487
"Selenium Micronutrient Network",85,90409
"Hypothesized Pathways in Pathogenesis of Cardiovascular Disease",0,90494
"Association Between Physico-Chemical Features and Toxicity Associated Pathways",5,90489
"miRNA Biogenesis",1,90493
"Oxidative Damage",0,90494
"Angiopoietin Like Protein 8 Regulatory Pathway",131,90363
"IL-9 Signaling Pathway",0,90494
"Glucose Homeostasis",3,90491
"Cardiac Progenitor Differentiation",1,90493
"Gastric Cancer Network 1",29,90465
"Apoptosis-related network due to altered Notch3 in ovarian cancer",52,90442
"Type III interferon signaling",10,90484
"Glucuronidation",58,90436
"Sulindac Metabolic Pathway",4,90490
"Complement Activation",21,90473
"RIG-I-like Receptor Signaling",0,90494
"TYROBP Causal Network",0,90494
"Nanomaterial induced apoptosis",0,90494
"IL-7 Signaling Pathway",0,90494
"Serotonin Receptor 2 and ELK-SRF/GATA4 signaling",20,90474
"Triacylglyceride Synthesis",32,90462
"MAPK Signaling Pathway",168,90326
"Rac1/Pak1/p38/MMP-2 pathway",1,90493
"IL1 and megakaryocytes in obesity",24,90470
"Gene regulatory network modelling somitogenesis ",1,90493
"Steroid Biosynthesis1",111,90383
"miRNA targets in ECM and membrane receptors",0,90494
"Type II interferon signaling (IFNG)",37,90457
"Constitutive Androstane Receptor Pathway",21,90473
"Sterol Regulatory Element-Binding Proteins (SREBP) signalling",1,90493
"Oxytocin signaling",2,90492
"Interleukin-1 Induced Activation of NF-kappa-B",0,90494
"Chemokine signaling pathway",2,90492
"Benzene metabolism",13,90481
"Ganglio Sphingolipid Metabolism",26,90468
"Focal Adhesion",242,90252
"Urea cycle and metabolism of amino groups",59,90435
"Bladder Cancer",43,90451
"Common Pathways Underlying Drug Addiction",3,90491
"ErbB Signaling Pathway",57,90437
"Phospholipid biosynthesis",30,90464
"Cori Cycle",19,90475
"Felbamate Metabolism",7,90487
"Colchicine Metabolic Pathway",3,90491
"Fatty Acid Beta Oxidation",60,90434
"Folate-Alcohol and Cancer Pathway",14,90480
"Bone Morphogenic Protein (BMP) Signalling and Regulation",1,90493
"mir-124 predicted interactions with cell cycle and differentiation ",0,90494
"MicroRNAs in cardiomyocyte hypertrophy",82,90412
"Translation Factors",50,90444
"Sphingolipid Metabolism1",189,90305
"One carbon donor",16,90478
"Gastric acid production",26,90468
"GPR40 Pathway",1,90493
"SREBF and miR33 in cholesterol and lipid homeostasis",4,90490
"Insulin Signaling",160,90334
"Hypothetical Craniofacial Development Pathway",2,90492
"T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection",3,90491
"TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer",7,90487
"PPAR signaling pathway",6,90488
"Lidocaine metabolism",8,90486
"DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM",0,90494
"Mitochondrial Gene Expression",1,90493
"Trans-sulfuration and one carbon metabolism",51,90443
"eIF5A regulation in response to inhibition of the nuclear export system",0,90494
"DNA Replication",129,90365
"Simplified Depiction of MYD88 Distinct Input-Output Pathway",1,90493
"Arachidonate Epoxygenase / Epoxide Hydrolase",15,90479
"TFs Regulate miRNAs related to cardiac hypertrophy",8,90486
"Effects of Nitric Oxide",7,90487
"Serotonin Receptor 4/6/7 and NR3C Signaling",19,90475
"Inflammatory Response Pathway",30,90464
"Fatty Acid Omega Oxidation",18,90476
"Nanoparticle triggered autophagic cell death",1,90493
"Hepatitis C and Hepatocellular Carcinoma",1,90493
"Apoptosis",319,90175
"Wnt/beta-catenin Signaling Pathway in Leukemia",0,90494
"PDGF Pathway",15,90479
"Regulation of toll-like receptor signaling pathway",105,90389
"Nucleotide-binding Oligomerization Domain (NOD) pathway",2,90492
"Parkin-Ubiquitin Proteasomal System pathway",71,90423
"miRNA Regulation of DNA Damage Response",7,90487
"Glycerophospholipid Biosynthetic Pathway",45,90449
"HIF1A and PPARG regulation of glycolysis",5,90489
"Ectoderm Differentiation",10,90484
"Synthesis and Degradation of Ketone Bodies",21,90473
"Myometrial Relaxation and Contraction Pathways",156,90338
"Exercise-induced Circadian Regulation",48,90446
"Development and heterogeneity of the ILC family",0,90494
"Aryl Hydrocarbon Receptor Pathway",2,90492
"Leptin and adiponectin",1,90493
"Retinoblastoma (RB) in Cancer",84,90410
"IL-1 signaling pathway",0,90494
"TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition",4,90490
"Integrin-mediated Cell Adhesion",99,90395
"Ovarian Infertility Genes",32,90462
"Cell-type Dependent Selectivity of CCK2R Signaling",8,90486
"Toll-like Receptor Signaling Pathway",103,90391
"Regulation of Apoptosis by Parathyroid Hormone-related Protein",0,90494
"G Protein Signaling Pathways",94,90400
"Photodynamic therapy-induced unfolded protein response",27,90467
"Polyol Pathway",5,90489
"Composition of Lipid Particles",2,90492
"Mismatch repair",24,90470
"Amino acid conjugation of benzoic acid",5,90489
"Cell Differentiation - Index",0,90494
"IL-5 Signaling Pathway",1,90493
"Serotonin and anxiety-related events",1,90493
"Endoderm Differentiation",74,90420
"Corticotropin-releasing hormone signaling pathway",91,90403
"Complement and Coagulation Cascades",61,90433
"BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation",1,90493
"NOTCH1 regulation of human endothelial cell calcification",1,90493
"RNA interference",3,90491
"Vitamin D Metabolism",16,90478
"ERK Pathway in Huntington's Disease",0,90494
"Metastatic brain tumor",0,90494
"Notch Signaling Pathway1",2,90492
"Arrhythmogenic Right Ventricular Cardiomyopathy",75,90419
"Cardiac Hypertrophic Response",48,90446
"Pathways Affected in Adenoid Cystic Carcinoma",0,90494
"DDX1 as a regulatory component of the Drosha microprocessor",0,90494
"Folate Metabolism1",56,90438
"Serotonin and anxiety",3,90491
"Aflatoxin B1 metabolism",5,90489
"ATM Signaling Pathway",8,90486
"Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)",1,90493
"Linoleic acid (LA) metabolism",32,90462
"Constitutive Signaling by EGFRvIII",26,90468
"Caspase activation via extrinsic apoptotic signalling pathway",34,90460
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",58,90436
"SMAD4 MH2 Domain Mutants in Cancer",3,90491
"Signaling by cytosolic FGFR1 fusion mutants",26,90468
"Sema4D in semaphorin signaling",33,90461
"Retinoid metabolism disease events",2,90492
"IPs transport between ER lumen and nucleus",2,90492
"VLDL assembly",9,90485
"Detoxification of Reactive Oxygen Species",65,90429
"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)",138,90356
"Signalling to p38 via RIT and RIN",272,90222
"Nonsense-Mediated Decay (NMD)",121,90373
"Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)",8,90486
"ARMS-mediated activation",272,90222
"Negative epigenetic regulation of rRNA expression",91,90403
"Regulation of DNA replication",78,90416
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",50,90444
"Retrograde neurotrophin signalling",18,90476
"Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells",7,90487
"Mitotic Prometaphase",207,90287
"Downstream TCR signaling",114,90380
"RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",68,90426
"Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)",2,90492
"Conjugation of benzoate with glycine",14,90480
"Diseases associated with surfactant metabolism",16,90478
"Defective ABCA1 causes Tangier disease",3,90491
"Interactions of Tat with host cellular proteins",3,90491
"The NLRP3 inflammasome",19,90475
"Constitutive Signaling by Aberrant PI3K in Cancer",89,90405
"Regulation of necroptotic cell death",21,90473
"Nef mediated downregulation of CD28 cell surface expression",3,90491
"Amyloid fiber formation",78,90416
"Ubiquinol biosynthesis",32,90462
"NF-kB is activated and signals survival",15,90479
"Transport of fatty acids",18,90476
"Glucose metabolism",139,90355
"Regulation of innate immune responses to cytosolic DNA",22,90472
"Loss of Function of SMAD4 in Cancer",3,90491
"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)",5,90489
"Interleukin-1 family signaling",99,90395
"Negative feedback regulation of MAPK pathway",8,90486
"Pyrimidine catabolism",51,90443
"Histamine receptors",5,90489
"Integrin cell surface interactions",87,90407
"Regulated proteolysis of p75NTR",11,90483
"c-src mediated regulation of Cx43 function and closure of gap junctions",5,90489
"PECAM1 interactions",14,90480
"Peroxisomal lipid metabolism",90,90404
"Abacavir transport and metabolism",34,90460
"Epigenetic regulation of gene expression",142,90352
"Membrane Trafficking",666,89828
"Regulation of PTEN gene transcription",68,90426
"TP53 Regulates Transcription of Death Receptors and Ligands",12,90482
"Ion transport by P-type ATPases",71,90423
"Scavenging by Class A Receptors",50,90444
"p75NTR signals via NF-kB",19,90475
"Transport of Mature mRNAs Derived from Intronless Transcripts",45,90449
"G alpha (s) signalling events",168,90326
"Phase II - Conjugation of compounds",257,90237
"Cross-presentation of soluble exogenous antigens (endosomes)",53,90441
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",15,90479
"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components",20,90474
"Loss of Function of TGFBR1 in Cancer",9,90485
"TGFBR2 Kinase Domain Mutants in Cancer",5,90489
"Reverse Transcription of HIV RNA",9,90485
"Signaling by plasma membrane FGFR1 fusions",5,90489
"DNA Repair",348,90146
"SUMOylation of chromatin organization proteins",60,90434
"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)",4,90490
"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production",8,90486
"IRAK4 deficiency (TLR5)",5,90489
"Role of LAT2/NTAL/LAB on calcium mobilization",378,90116
"PI and PC transport between ER and Golgi membranes",3,90491
"Activation of PUMA and translocation to mitochondria",9,90485
"Mitotic Anaphase",209,90285
"Metabolism of steroid hormones",69,90425
"Phosphorylation of the APC/C",19,90475
"Generic Transcription Pathway",1140,89354
"Activation of ATR in response to replication stress",39,90455
"GRB2:SOS provides linkage to MAPK signaling for Integrins ",20,90474
"HDR through Single Strand Annealing (SSA)",39,90455
"Transport of connexons to the plasma membrane",22,90472
"Global Genome Nucleotide Excision Repair (GG-NER)",92,90402
"Diseases associated with N-glycosylation of proteins",20,90474
"Anchoring of the basal body to the plasma membrane",99,90395
"STING mediated induction of host immune responses",25,90469
"Alpha-defensins",11,90483
"eNOS activation",35,90459
"p53-Dependent G1/S DNA damage checkpoint",68,90426
"Inhibition of adenylate cyclase pathway",18,90476
"Cargo trafficking to the periciliary membrane",55,90439
"Sialic acid metabolism",60,90434
"RAF-independent MAPK1/3 activation",28,90466
"TWIK-releated acid-sensitive K+ channel (TASK)",3,90491
"ISG15 antiviral mechanism",83,90411
"Catecholamine biosynthesis",30,90464
"PI-3K cascade:FGFR2",31,90463
"Muscarinic acetylcholine receptors",6,90488
"t(4;14) translocations of FGFR3",3,90491
"Retinoid metabolism and transport",79,90415
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",305,90189
"MyD88-independent TLR3/TLR4 cascade ",111,90383
"Cleavage of the damaged purine",8,90486
"RUNX1 regulates expression of components of tight junctions",5,90489
"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)",30,90464
"Serine biosynthesis",21,90473
"Defective CUBN causes hereditary megaloblastic anemia 1",4,90490
"Processing of Intronless Pre-mRNAs",19,90475
"Phenylketonuria1",30,90464
"Synthesis of UDP-N-acetyl-glucosamine",29,90465
"SMAC-mediated apoptotic response",5,90489
"Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)",1,90493
"Tat-mediated elongation of the HIV-1 transcript",52,90442
"DNA Replication1",129,90365
"Translocation of ZAP-70 to Immunological synapse",32,90462
"FCGR activation",103,90391
"5-Phosphoribose 1-diphosphate biosynthesis",11,90483
"PI-3K cascade:FGFR1",28,90466
"Dopamine clearance from the synaptic cleft",17,90477
"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE",9,90485
"PLC beta mediated events",63,90431
"Cleavage of Growing Transcript in the Termination Region ",67,90427
"NADPH regeneration",7,90487
"GABA receptor activation",62,90432
"A tetrasaccharide linker sequence is required for GAG synthesis",31,90463
"G1/S-Specific Transcription",27,90467
"Integration of energy metabolism",142,90352
"TFAP2 (AP-2) family regulates transcription of other transcription factors",4,90490
"RNA Polymerase II Pre-transcription Events",87,90407
"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",2,90492
"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)",4,90490
"Deubiquitination",289,90205
"Regulation of TLR by endogenous ligand",31,90463
"ERBB2 Regulates Cell Motility",19,90475
"Defective SLC12A1 causes Bartter syndrome 1 (BS1)",3,90491
"Mitotic Spindle Checkpoint",110,90384
"Zinc efflux and compartmentalization by the SLC30 family",8,90486
"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",55,90439
"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA",3,90491
"Other interleukin signaling",35,90459
"Methylation",52,90442
"Regulation of PTEN stability and activity",74,90420
"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",48,90446
"Miscellaneous substrates",27,90467
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",65,90429
"Post-chaperonin tubulin folding pathway",24,90470
"DNA Double Strand Break Response",74,90420
"Protein-protein interactions at synapses",90,90404
"mRNA decay by 3' to 5' exoribonuclease",26,90468
"Immune System",2561,87933
"Amine ligand-binding receptors",51,90443
"Opioid Signalling",104,90390
"GABA synthesis",7,90487
